W1114 05:27:48.904704             MAIN main.cpp:2059] Orthanc version: 1.12.4
I1114 05:27:48.904814             MAIN main.cpp:2091] Architecture: 64-bit, little endian
W1114 05:27:48.905146             MAIN OrthancConfiguration.cpp:58] Reading the configuration from: "/tmp/orthanc.json"
I1114 05:27:48.905908             MAIN Toolbox.cpp:1577] Using locale: "en_US.UTF-8" for case-insensitive comparison of strings
I1114 05:27:48.906180             MAIN Toolbox.cpp:1873] OpenSSL version: OpenSSL 3.1.4
I1114 05:27:48.907872             MAIN FromDcmtkBridge.cpp:295] (dicom) Using DCMTK version: 368
I1114 05:27:48.907994             MAIN FromDcmtkBridge.cpp:303] (dicom) Loading the embedded dictionaries
I1114 05:27:48.935877             MAIN FromDcmtkBridge.cpp:315] (dicom) Loading the embedded dictionary of private tags
I1114 05:27:48.958764             MAIN FromDcmtkBridge.cpp:2473] (dicom) Registering JPEG Lossless codecs in DCMTK
I1114 05:27:48.958823             MAIN FromDcmtkBridge.cpp:2481] (dicom) Registering JPEG codecs in DCMTK
I1114 05:27:48.958858             MAIN FromDcmtkBridge.cpp:2488] (dicom) Registering RLE codecs in DCMTK
I1114 05:27:48.958879             MAIN Enumerations.cpp:2385] Default encoding for DICOM was changed to: Latin1
I1114 05:27:48.991735             MAIN OrthancInitialization.cpp:387] Calling mallopt(M_ARENA_MAX, 5)
W1114 05:27:48.992026             MAIN main.cpp:917] Loading plugin(s) from: /run/orthanc/plugins
E1114 05:27:48.992045             MAIN PluginsManager.cpp:247] Inexistent path to plugins: /run/orthanc/plugins
W1114 05:27:48.992052             MAIN main.cpp:917] Loading plugin(s) from: /usr/share/orthanc/plugins
I1114 05:27:48.992090             MAIN PluginsManager.cpp:293] (plugins) Scanning folder /usr/share/orthanc/plugins for plugins
I1114 05:27:48.992326             MAIN PluginsManager.cpp:316] (plugins) Found a shared library: "/usr/share/orthanc/plugins/libOrthancGdcm.so"
W1114 05:27:49.013628             MAIN PluginsManager.cpp:274] Registering plugin 'gdcm' (version 1.7)
I1114 05:27:49.014538             MAIN PluginsManager.cpp:162] (plugins) Initializing the decoder/transcoder of medical images using GDCM
W1114 05:27:49.015146             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.90
W1114 05:27:49.015170             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.91
W1114 05:27:49.015178             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.92
W1114 05:27:49.015184             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.93
W1114 05:27:49.015193             MAIN PluginsManager.cpp:158] Throttling GDCM to 4 concurrent thread(s)
W1114 05:27:49.015219             MAIN PluginsManager.cpp:158] Version of GDCM: 3.0.24
I1114 05:27:49.015226             MAIN OrthancPlugins.cpp:2906] (plugins) Plugin has registered a callback to decode DICOM images (1 decoder(s) now active)
I1114 05:27:49.015236             MAIN OrthancPlugins.cpp:2919] (plugins) Plugin has registered a callback to transcode DICOM images (1 transcoder(s) now active)
I1114 05:27:49.015294             MAIN PluginsManager.cpp:316] (plugins) Found a shared library: "/usr/share/orthanc/plugins/libDelayedDeletion.so"
W1114 05:27:49.016401             MAIN PluginsManager.cpp:274] Registering plugin 'delayed-deletion' (version 1.12.4)
W1114 05:27:49.017138             MAIN delayed-deletion:/Plugin.cpp:330] DelayedDeletion - Path to the storage area: /var/lib/orthanc/db
W1114 05:27:49.017771             MAIN delayed-deletion:/Plugin.cpp:337] DelayedDeletion - Path to the SQLite database: /var/lib/orthanc/db/pending-deletions.ababa8a8-dd52792b-0d9d47a4-9c483253-ed5ea6e2.db
I1114 05:27:49.027921             MAIN OrthancPlugins.cpp:5626] (plugins) Plugin has registered a custom storage area
I1114 05:27:49.027958             MAIN OrthancPlugins.cpp:2833] (plugins) Plugin has registered an OnChange callback
I1114 05:27:49.027967             MAIN OrthancPlugins.cpp:2789] (plugins) Plugin has registered a REST callback without mutual exclusion on: /plugins/delayed-deletion/status
I1114 05:27:49.028062             MAIN PluginsManager.cpp:316] (plugins) Found a shared library: "/usr/share/orthanc/plugins/libOrthancExplorer2.so"
W1114 05:27:49.029091             MAIN PluginsManager.cpp:274] Registering plugin 'orthanc-explorer-2' (version 1.5.1)
W1114 05:27:49.029791             MAIN PluginsManager.cpp:158] Root URI to the Orthanc-Explorer 2 application: /ui/
I1114 05:27:49.029820             MAIN OrthancPlugins.cpp:2789] (plugins) Plugin has registered a REST callback without mutual exclusion on: /ui/app/customizable/custom.css
I1114 05:27:49.029845             MAIN OrthancPlugins.cpp:2789] (plugins) Plugin has registered a REST callback without mutual exclusion on: /ui/app/assets/(.*)
I1114 05:27:49.029866             MAIN OrthancPlugins.cpp:2789] (plugins) Plugin has registered a REST callback without mutual exclusion on: /ui/app/index.html
I1114 05:27:49.029877             MAIN OrthancPlugins.cpp:2789] (plugins) Plugin has registered a REST callback without mutual exclusion on: /ui/app/token-landing.html
I1114 05:27:49.029888             MAIN OrthancPlugins.cpp:2789] (plugins) Plugin has registered a REST callback without mutual exclusion on: /ui/app/retrieve-and-view.html
I1114 05:27:49.029898             MAIN OrthancPlugins.cpp:2789] (plugins) Plugin has registered a REST callback without mutual exclusion on: /ui/app/favicon.ico
I1114 05:27:49.029908             MAIN OrthancPlugins.cpp:2789] (plugins) Plugin has registered a REST callback without mutual exclusion on: /ui/app/(.*)
I1114 05:27:49.029918             MAIN OrthancPlugins.cpp:2789] (plugins) Plugin has registered a REST callback without mutual exclusion on: /ui/app
I1114 05:27:49.029927             MAIN OrthancPlugins.cpp:2789] (plugins) Plugin has registered a REST callback without mutual exclusion on: /ui/api/configuration
I1114 05:27:49.029939             MAIN OrthancPlugins.cpp:2789] (plugins) Plugin has registered a REST callback without mutual exclusion on: /ui/api/pre-login-configuration
I1114 05:27:49.029952             MAIN OrthancPlugins.cpp:2833] (plugins) Plugin has registered an OnChange callback
I1114 05:27:49.030071             MAIN PluginsManager.cpp:316] (plugins) Found a shared library: "/usr/share/orthanc/plugins/libOrthancDicomWeb.so"
W1114 05:27:49.031196             MAIN PluginsManager.cpp:274] Registering plugin 'dicom-web' (version 1.17)
I1114 05:27:49.031761             MAIN dicom-web:/Configuration.cpp:319] The DICOMweb plugin reads the DICOMweb servers from the configuration file
W1114 05:27:49.031793             MAIN dicom-web:/Plugin.cpp:565] URI to the DICOMweb REST API: /dicom-web/
I1114 05:27:49.031801             MAIN OrthancPlugins.cpp:2806] (plugins) Plugin has registered a REST callback for chunked streams on: /dicom-web/studies
